attribute,mean,max,min
pattern_c53,0.22549019607843138,1.0,0.0
pattern_c51,0.22549019607843138,1.0,0.0
maccs_k118,0.602328431372549,1.0,0.0
pattern_c58,0.21691176470588236,1.0,0.0
pattern_c56,0.21997549019607843,1.0,0.0
pattern_c55,0.22303921568627452,1.0,0.0
pattern_c10,0.1488970588235294,1.0,0.0
maccs_k165,0.8333333333333334,1.0,0.0
cyclic,0.8333333333333334,1.0,0.0
pattern_c54,0.2267156862745098,1.0,0.0
pubchem_f368,0.13480392156862744,1.0,0.0
pubchem_f431,0.5943627450980392,1.0,0.0
pattern_c57,0.22181372549019607,1.0,0.0
pubchem_f611,0.13419117647058823,1.0,0.0
pubchem_f656,0.29840686274509803,1.0,0.0
pubchem_f861,0.13357843137254902,1.0,0.0
maccs_k135,0.14644607843137256,1.0,0.0
acetal,0.1323529411764706,1.0,0.0
pattern_c59,0.22365196078431374,1.0,0.0
maccs_k154,0.6593137254901961,1.0,0.0
pubchem_f621,0.12316176470588236,1.0,0.0
pubchem_f633,0.12316176470588236,1.0,0.0
pubchem_f410,0.058823529411764705,1.0,0.0
pubchem_f260,0.13419117647058823,1.0,0.0
pubchem_f578,0.12071078431372549,1.0,0.0
pubchem_f421,0.6654411764705882,1.0,0.0
pubchem_f342,0.6482843137254902,1.0,0.0
maccs_k152,0.6482843137254902,1.0,0.0
steroid,0.07598039215686274,1.0,0.0
pubchem_f196,0.0625,1.0,0.0
maccs_322_007,0.7236519607843137,1.0,0.0
o_in_aromatic_6_ring_with_lone_pair,0.04656862745098039,1.0,0.0
pubchem_f463,0.12193627450980392,1.0,0.0
pubchem_f538,0.12193627450980392,1.0,0.0
pubchem_f023,0.07352941176470588,1.0,0.0
maccs_322_008,0.9178921568627451,1.0,0.0
heteroaromatic_o,0.06311274509803921,1.0,0.0
pubchem_f367,0.6158088235294118,1.0,0.0
maccs_322_050,0.20036764705882354,1.0,0.0
maccs_k116,0.5018382352941176,1.0,0.0
pattern_c68,0.3131127450980392,1.0,0.0
pubchem_f189,0.11213235294117647,1.0,0.0
oxolane,0.08946078431372549,1.0,0.0
edg,0.29840686274509803,1.0,0.0
pubchem_f691,0.3069852941176471,1.0,0.0
alpha_beta-unsaturated_system,0.12990196078431374,1.0,0.0
benzene,0.28431372549019607,1.0,0.0
unfused_benzene,0.28431372549019607,1.0,0.0
phenoxide_para_subs,0.28431372549019607,1.0,0.0
maccs_k141,0.35661764705882354,1.0,0.0
carboxylic ester,0.10845588235294118,1.0,0.0
pubchem_f684,0.43014705882352944,1.0,0.0
maccs_k115,0.4944852941176471,1.0,0.0
1_methoxy2_unsubstituted_arene,0.08088235294117647,1.0,0.0
r5_1ht_sat,0.1133578431372549,1.0,0.0
12_disubstituted_alkene,0.15441176470588236,1.0,0.0
pubchem_f687,0.1636029411764706,1.0,0.0
pattern_c2,0.09681372549019608,1.0,0.0
maccs_k086,0.18382352941176472,1.0,0.0
maccs_k112,0.9387254901960784,1.0,0.0
ester_deriv,0.16176470588235295,1.0,0.0
pubchem_f640,0.29901960784313725,1.0,0.0
pubchem_f693,0.4381127450980392,1.0,0.0
pattern_c65,0.1256127450980392,1.0,0.0
pubchem_f756,0.08272058823529412,1.0,0.0
pattern_c325,0.02022058823529412,1.0,0.0
pubchem_f593,0.4534313725490196,1.0,0.0
pubchem_f614,0.4430147058823529,1.0,0.0
allylic alcohol,0.05943627450980392,1.0,0.0
pattern_c285,0.09129901960784313,1.0,0.0
pattern_c66,0.12438725490196079,1.0,0.0
maccs_k100,0.27144607843137253,1.0,0.0
ketone,0.16544117647058823,1.0,0.0
pubchem_f341,0.40931372549019607,1.0,0.0
maccs_k106,0.17830882352941177,1.0,0.0
pubchem_f623,0.028799019607843136,1.0,0.0
annelated_rings,0.4540441176470588,1.0,0.0
nitro,0.012867647058823529,1.0,0.0
maccs_322_071,0.02144607843137255,1.0,0.0
pubchem_f556,0.18566176470588236,1.0,0.0
maccs_k121,0.3075980392156863,1.0,0.0
azacycle,0.3075980392156863,1.0,0.0
maccs_k082,0.25857843137254904,1.0,0.0
pattern_c90,0.125,1.0,0.0
tertiary_heteroaromatic,0.1568627450980392,1.0,0.0
maccs_k101,0.4571078431372549,1.0,0.0
pubchem_f454,0.20588235294117646,1.0,0.0
maccs_k070,0.031862745098039214,1.0,0.0
pattern_c93,0.12867647058823528,1.0,0.0
n_o_single_bond,0.022058823529411766,1.0,0.0
maccs_k024,0.022058823529411766,1.0,0.0
pubchem_f338,0.11642156862745098,1.0,0.0
pubchem_f606,0.07107843137254902,1.0,0.0
maccs_k071,0.03676470588235294,1.0,0.0
pubchem_f302,0.03676470588235294,1.0,0.0
pubchem_f595,0.2818627450980392,1.0,0.0
pubchem_f667,0.2818627450980392,1.0,0.0
pubchem_f577,0.13848039215686275,1.0,0.0
pattern_c92,0.11580882352941177,1.0,0.0
maccs_k063,0.024509803921568627,1.0,0.0
maccs_322_139,0.024509803921568627,1.0,0.0
maccs_322_137,0.024509803921568627,1.0,0.0
maccs_k109,0.3272058823529412,1.0,0.0
pubchem_f757,0.1133578431372549,1.0,0.0
pubchem_f738,0.034926470588235295,1.0,0.0
pubchem_f702,0.2708333333333333,1.0,0.0
pubchem_f690,0.6035539215686274,1.0,0.0
pubchem_f203,0.03982843137254902,1.0,0.0
pattern_c120,0.04656862745098039,1.0,0.0
phenol ether,0.07107843137254902,1.0,0.0
pattern_c118,0.0392156862745098,1.0,0.0
pattern_c277,0.051470588235294115,1.0,0.0
